"three";"lasso.ohne.weight";"lasso.econ.weight";"green.job.three.no.weight";"green.job.three.weight"
261;"0.0824562689435409";"0.102583591671521";"yes";"yes"
262;"0.086479141294159";"0.0941554841506387";"yes";"yes"
263;"0.07154190632041";"0.020263652870731";"yes";"yes"
264;"0.0739883235020321";"0.0579760102675648";"yes";"yes"
265;"0.0170208325343411";"0.0230006867918658";"yes";"yes"
300;"0.170268033678429";"0.171735430485434";"yes";"yes"
310;"0.509018712789657";"0.51340551645278";"yes";"yes"
311;"0.66247818174452";"0.605477746789143";"yes";"yes"
312;"0.696116410576146";"0.702115651749697";"yes";"yes"
313;"0.470917446228473";"0.562415563539441";"yes";"yes"
314;"0.433639705090434";"0.525544806494969";"yes";"yes"
315;"0.324954414946945";"0.27615954446909";"yes";"yes"
320;"0.0280222169167619";"0.0282637168080833";"yes";"yes"
321;"0.050040136064871";"0.0466148725598415";"yes";"yes"
322;"0.00244229393967639";"0.00546051671038402";"yes";"yes"
323;"0";"0";"yes";"yes"
324;"0.0343227925602945";"0.0346185918076482";"yes";"yes"
325;"0.0427507272864648";"0.0213317491080718";"yes";"yes"
330;"0.128800163780306";"0.129910183934939";"yes";"yes"
331;"0.2111638969313";"0.154815444031489";"yes";"yes"
332;"0.255487098301688";"0.239930373094756";"yes";"yes"
333;"0.150462123603797";"0.210543466920023";"yes";"yes"
334;"0.0477367349146577";"0.0508514981866772";"yes";"yes"
335;"0.0700496471980904";"0.0679312663831137";"yes";"yes"
340;"0.0736846760499587";"0.0743197022261881";"yes";"yes"
341;"0.0371121460781509";"0.0285804270178708";"yes";"yes"
342;"0.0625406415537819";"0.0492346531062805";"yes";"yes"
343;"0.11286427378076";"0.156435185270445";"yes";"yes"
350;"0.267982310438758";"0.270291824316238";"yes";"yes"
351;"0.272307747935697";"0.263633803359304";"yes";"yes"
352;"0.26370726730234";"0.277492595689934";"yes";"yes"
400;"0.0853395947285647";"0.0860750648347873";"yes";"yes"
410;"0.0941009266186078";"0.0949119032668561";"yes";"yes"
411;"0.14929330493986";"0.150579938221769";"yes";"yes"
412;"0.0715066159206231";"0.072122871230647";"yes";"yes"
413;"0.0845592101546985";"0.0863555195879328";"yes";"yes"
420;"0.0505004353904706";"0.0509356561188916";"yes";"yes"
421;"0.0485080081587753";"0.0344257887904068";"yes";"yes"
422;"0.0515207244585292";"0.0554471189874526";"yes";"yes"
430;"0.137798322059628";"0.138985889763515";"yes";"yes"
431;"0.0941976492111695";"0.0899625606520502";"yes";"yes"
432;"0.232951779936219";"0.186260520276242";"yes";"yes"
441;"0.116922969982088";"0.0953572078864896";"yes";"yes"
500;"0.0760421864382702";"0.07669753001138";"yes";"yes"
510;"0.0705241427627901";"0.0711319309639643";"yes";"yes"
511;"0.0874615003688652";"0.0824341805712966";"yes";"yes"
512;"0.154144937094166";"0.155473382508267";"yes";"yes"
513;"0.0889529932309533";"0.0897196041761831";"yes";"yes"
514;"0.0571178899837563";"0.0512487067315435";"yes";"yes"
515;"0.11704811425922";"0.118056853394919";"yes";"yes"
516;"0.0365849299809298";"0.0383363037835849";"yes";"yes"
520;"0.0990042947652424";"0.0998575294146345";"yes";"yes"
521;"0.0828515851202747";"0.100083359411252";"yes";"yes"
522;"0.112445416337835";"0.0885718136603744";"yes";"yes"
523;"0.0503133455423511";"0.0507469539009113";"yes";"yes"
524;"0.109382346743466";"0.13205154221825";"yes";"yes"
530;"0.0333260186130412";"0.0336132275050833";"yes";"yes"
531;"0.0532059356498398";"0.0536644728068129";"yes";"yes"
532;"0.0257972308986326";"0.0267224906698981";"yes";"yes"
541;"0.0740849986852967";"0.0641901656805922";"yes";"yes"
600;"0.34703948633525";"0.35003032744119";"yes";"yes"
610;"0.359588789381702";"0.36268778236338";"yes";"yes"
