ISCO;Title;green;index1
2266;Audiologists and speech therapists;0,18;(-0.25)
3431;Photographers;0,18;(-0.78)
5249;Sales workers not elsewhere classified;0,18;NA
6310;Subsistence crop farmers;0,18;NA
7318;Handicraft workers in textile, leather and related materials;0,18;NA
7536;Shoemakers and related workers;0,18;(-1.65)
8219;Assemblers not elsewhere classified;0,18;NA
2269;Health professionals not elsewhere classified;0,17;0,85
2341;Primary school teachers;0,17;0,38
2656;Announcers on radio, television and other media;0,17;NA
4312;Statistical, finance and insurance clerks;0,17;-0,06
5113;Travel guides;0,17;(3.24)
7523;Woodworking-machine tool setters and operators;0,17;(-0.78)
8160;Food and related products machine operators;0,17;-1,24
8171;Pulp and papermaking plant operators;0,17;(-3.47)
8212;Electrical and electronic equipment assemblers;0,17;NA
9121;Hand launderers and pressers;0,17;(-7.68)
9411;Fast food preparers;0,17;NA
2352;Special needs teachers;0,16;2,24
2643;Translators, interpreters and other linguists;0,16;-1,42
3411;Legal and related associate professionals;0,16;-0,64
4214;Debt-collectors and related workers;0,16;NA
4313;Payroll clerks;0,16;(0.44)
5246;Food service counter attendants;0,16;NA
8121;Metal processing plant operators;0,16;(-2.37)
2240;Paramedical practitioners;0,15;NA
2353;Other language teachers;0,15;NA
2634;Psychologists;0,15;1,27
3313;Accounting associate professionals;0,15;0,34
3333;Employment agents and contractors;0,15;(1.65)
4311;Accounting and bookkeeping clerks;0,15;0,16
5414;Security guards;0,15;-0,58
8189;Stationary plant and machine operators not elsewhere classified;0,15;NA
9111;Domestic cleaners and helpers;0,15;-0,6
9412;Kitchen helpers;0,15;(0.63)
1222;Advertising and public relations managers;0,14;(2.59)
2354;Other music teachers;0,14;NA
2355;Other arts teachers;0,14;(1.89)
3135;Metal production process controllers;0,14;NA
3511;Information and communications technology operations technicians;0,14;(-0.89)
3521;Broadcasting and audio-visual technicians;0,14;(-0.41)
4222;Contact centre information clerks;0,14;NA
5311;Child care workers;0,14;-0,44
7211;Metal moulders and coremakers;0,14;NA
7535;Pelt dressers, tanners and fellmongers;0,14;NA
8132;Photographic products machine operators;0,14;NA
3259;Health associate professionals not elsewhere classified;0,13;NA
3212;Medical and pathology laboratory technicians ;0,12;0,77
4132;Data entry clerks;0,12;NA
4223;Telephone switchboard operators;0,12;(-2.45)
5230;Cashiers and ticket clerks;0,12;-1,89
7132;Spray painters and varnishers;0,12;(-3.41)
8172;Wood processing plant operators;0,12;NA
3343;Administrative and executive secretaries;0,11;0,31
4211;Bank tellers and related clerks;0,11;-0,14
4212;Bookmakers, croupiers and related gaming workers;0,11;NA
4413;Coding, proof-reading and related clerks;0,11;(-0.78)
2652;Musicians, singers and composers;0,1;1,38
4120;Secretaries (general);0,1;-0,91
4225;Enquiry clerks;0,1;NA
4226;Receptionists (general);0,1;-0,66
5244;Contact centre salespersons;0,1;(-6.2)
5322;Home-based personal care workers;0,1;-0,07
7514;Fruit, vegetable and related preservers;0,1;NA
8151;Fibre preparing, spinning and winding machine operators;0,1;NA
9624;Water and firewood collectors;0,1;NA
2166;Graphic and multimedia designers;0,09;-0,1
2342;Early childhood educators;0,09;-0,84
4411;Library clerks;0,09;(0.64)
5241;Fashion and other models;0,09;NA
2635;Social work and counselling professionals;0,08;0,28
2653;Dancers and choreographers;0,08;(2.82)
3240;Veterinary technicians and assistants;0,08;(-0.44)
2262;Pharmacists;0,07;1,83
3256;Medical assistants;0,07;-0,19
4321;Stock clerks;0,07;-2,41
5413;Prison guards;0,07;(0.88)
7321;Pre-press technicians;0,07;(-0.26)
8152;Weaving and knitting machine operators;0,07;(-3.41)
9621;Messengers, package deliverers and luggage porters;0,07;-1,61
2655;Actors;0,06;(-1.66)
3342;Legal secretaries;0,06;-1
5164;Pet groomers and animal care workers;0,06;0,3
3412;Social work associate professionals;0,05;1,16
4131;Typists and word processing operators;0,05;NA
9331;Hand and pedal vehicle drivers;0,05;NA
3213;Pharmaceutical technicians and assistants;0,04;-0,75
5329;Personal care workers in health services not elsewhere classified;0,04;-1,19
7316;Sign writers, decorative painters, engravers and etchers;0,04;(0.07)
3221;Nursing associate professionals;0,03;1,16
3251;Dental assistants and therapists;0,02;(-0.34)
3344;Medical secretaries;0;0,28
